Id,Quantity,Recipe ingredient,Name [Food],Title [Recipe],Ingredients [Recipe],Origin [Recipe]
1, - ,2.0 filets huile d'olive,huile d'olive,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
2, - ,1.0 steak haché,steak haché,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
3, - ,70.0 grammes pâtes,pâtes,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
4, - ,500 g de semoule moyenne,semoule,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
5, - ,500 g de tomate environ (ébouillantées pour oter la peau et en quartier),tomate,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
6, - ,1 concombre (épluché et en gros morceaux),concombre,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
7, - ,5 oignon (épeluchés et coupé en 4),oignon,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
8, - ,5 branche de persil et de menthe,persil,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
9, - ,Citron et autant d'huile,citron,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
10, - ,Poivre,poivre,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
11, - ,Sel,sel,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
12, - ,Pain Bagel,bagel,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
13, - ,Carpaccio de boeuf,carpaccio de boeuf,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
14, - ,Fromage frais aux herbes,fromage frais aux herbes,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
15, - ,Roquette,roquette,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
16, - ,Tomates cerises,tomate cerise,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
17, - ,Huile d'olive,huile d'olive,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
18, - ,Sel,sel,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
19, - ,Poivre 5 baies,poivre,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
20, - ,1.0  cuillère à soupe beurre,beurre,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
21, - ,2.0  oignon,oignon,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
22, - ,60.0  grammes crevette,crevette,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
23, - ,200.0  grammes poisson blanc,poisson blanc,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
24, - ,10.0  centilitres vin blanc,vin blanc,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
25, - ,120.0  grammes riz,riz,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
26, - ,1.0  ananas,ananas,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
27, - ,3.0  cuillères à café curry,curry,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
28, - ,1 pâte brisée,pâte brisée,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
29, - ,20 cl de crème épaisse,crème épaisse,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
30, - ,1 petite boîte de concentré de tomates,concentré de tomate,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
31, - ,150 g de thon en boîte,boite de thon,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
32, - ,Sel,sel,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
33, - ,Herbes de Provence,herbes de provence,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
34, - ,50 fromage râpé,fromage râpé,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
35, - ,1 oeuf,oeuf,Tarte thon et tomate,"1 pâte brisée 
20 cl de crème épaisse 
1 petite boîte de concentré de tomates 
150 g de thon en boîte
Sel 
Herbes de Provence 
50 fromage râpé 
1 oeuf ",www.marmiton.org
36, - ,1/2 avocat,avocat,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
37, - ,1/4 concombre,concombre,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
38, - ,1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé,boite de crabe,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
39, - ,2 feuille de nori (algues) coupées en 2 (donc 4),nori,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
40, - ,Sésame,sésame,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
41, - ,125 g de riz rond,riz rond,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
42, - ,1 cuillère à soupe de sucre en poudre,sucre en poudre,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
43, - ,1 cuillère à soupe de vinaigre de riz,vinaigre de riz,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
44, - ,1/2 cuillère à café de Sel,sel,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
45, - ,Wasabi,wasabi,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
46, - ,Sauce soja,sauce soja,Sushi californien (maki inversé),"1/2 avocat 
1/4 concombre 
1 boîte de crabe ou 8 batonnets de surimi ou 150 g de saumon cru ou fumé
2 feuille de nori (algues) coupées en 2 (donc 4)
Sésame 
125 g de riz rond 
1 cuillère à soupe de sucre en poudre 
1 cuillère à soupe de vinaigre de riz 
1/2 cuillère à café de Sel 
Wasabi 
Sauce soja ",www.marmiton.org
47, - ,70.0  grammes riz,riz,Steak haché et riz,"70.0  grammes riz
1.0  filet huile d'olive
1.0  steak haché",www.wecook.fr
48, - ,1.0  filet huile d'olive,huile d'olive,Steak haché et riz,"70.0  grammes riz
1.0  filet huile d'olive
1.0  steak haché",www.wecook.fr
49, - ,1.0  steak haché,steak haché,Steak haché et riz,"70.0  grammes riz
1.0  filet huile d'olive
1.0  steak haché",www.wecook.fr
50, - ,4 bonne poignée de mâche,mâche,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
51, - ,40 tomate cerise,tomate cerise,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
52, - ,2 boule de mozzarella,mozzarella,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
53, - ,"4 tranche de jambon cru ou jambon sec, vendéen...",jambon cru,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
54, - ,4 poignée de croûtons,croutons,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
55, - ,Vinaigrette,vinaigrette,"Salade mâche, jambon de Bayonne, mozzarella","4 bonne poignée de mâche 
40 tomate cerise 
2 boule de mozzarella 
4 tranche de jambon cru ou jambon sec, vendéen...
4 poignée de croûtons 
Vinaigrette ",www.marmiton.org
56, - ,Ciabattina,pain ciabattina,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
57, - ,Jambon de Parme,jambon de Parme,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
58, - ,Tomates confites,tomate confite,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
59, - ,Pesto,pesto,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
60, - ,Roquette,roquette,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
61, - ,Parmesan,parmesan,Ciabattina al pesto,"Ciabattina
Jambon de Parme
Tomates confites
Pesto
Roquette
Parmesan",www.club-sandwich.net
62, - ,200.0  grammes pomme de terre,pomme de terre,Faux-filet de boeuf et gratin dauphinois,"200.0  grammes pomme de terre
10.0  centilitres crème liquide
1.0  gousse ail
130.0  grammes faux-filet de boeuf",www.wecook.fr
63, - ,10.0  centilitres crème liquide,crème liquide,Faux-filet de boeuf et gratin dauphinois,"200.0  grammes pomme de terre
10.0  centilitres crème liquide
1.0  gousse ail
130.0  grammes faux-filet de boeuf",www.wecook.fr
64, - ,1.0  gousse ail,ail,Faux-filet de boeuf et gratin dauphinois,"200.0  grammes pomme de terre
10.0  centilitres crème liquide
1.0  gousse ail
130.0  grammes faux-filet de boeuf",www.wecook.fr
65, - ,130.0  grammes faux-filet de boeuf,faux-filet,Faux-filet de boeuf et gratin dauphinois,"200.0  grammes pomme de terre
10.0  centilitres crème liquide
1.0  gousse ail
130.0  grammes faux-filet de boeuf",www.wecook.fr
66, - ,"1 pâte brisée,",pâte brisée,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
67, - ,"300 g de saumon en filet (frais ou surgelé),",filet de saumon,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
68, - ,"1 oignon jaune,",oignon jaune,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
69, - ,"Dés ou tranches de courgette surgelés,",courgette,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
70, - ,"2 cs de basilic ciselé,",basilic,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
71, - ,"150 g de mascarpone,",mascarpone,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
72, - ,"3 oeufs entiers,",oeuf,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
73, - ,"10 cl de crème fraîche,",crème fraîche,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
74, - ,"Huile d'olive,",huile d'olive,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
75, - ,"Sel,",sel,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
76, - ,Poivre.,poivre,Quiche au saumon et aux courgettes,"1 pâte brisée,
300 g de saumon en filet (frais ou surgelé),
1 oignon jaune,
Dés ou tranches de courgette surgelés,
2 cs de basilic ciselé,
150 g de mascarpone,
3 oeufs entiers,
10 cl de crème fraîche,
Huile d'olive,
Sel,
Poivre.",www.unjourunerecette.fr
77, - ,4 verre de riz,riz,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
78, - ,1 petite tasse de vinaigre de riz,vinaigre de riz,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
79, - ,2 cuillère à soupe de sucre,sucre en poudre,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
80, - ,1 cuillère à soupe de Sel,sel,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
81, - ,1 concombre,concombre,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
82, - ,2 avocat,avocat,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
83, - ,200 g de saumon frais ou fumé,saumon fumé,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
84, - ,feuille de nori,nori,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
85, - ,Sésame,sésame,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
86, - ,Persil haché,persil,"Makis saumon, concombre, avocat","4 verre de riz 
1 petite tasse de vinaigre de riz 
2 cuillère à soupe de sucre 
1 cuillère à soupe de Sel 
1 concombre 
2 avocat 
200 g de saumon frais ou fumé
feuille de nori 
Sésame 
Persil haché",www.marmiton.org
87, - ,1.0  cuillère à café herbes de Provence,herbes de provence,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
88, - ,1.0  cuillère à café paprika,paprika,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
89, - ,4.0  pomme de terre,pomme de terre,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
90, - ,0.5  cuillère à soupe farine de blé,farine de blé,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
91, - ,2.0  cuillères à café huile d'olive,huile d'olive,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
92, - ,10.0  centilitres huile de friture,huile de friture,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
93, - ,125.0  grammes steak haché,steak haché,Steak haché et potatoes,"1.0  cuillère à café herbes de Provence
1.0  cuillère à café paprika
4.0  pomme de terre
0.5  cuillère à soupe farine de blé
2.0  cuillères à café huile d'olive
10.0  centilitres huile de friture
125.0  grammes steak haché",www.wecook.fr
94, - ,1 verre de quinoa,quinoa,Salade de quinoa,"1 verre de quinoa 
1/2 concombre 
2 tomate 
20 feuille de menthe 
1 échalote 
Huile d'olive 
Jus de citron 
Sel ",www.marmiton.org
95, - ,1/2 concombre,concombre,Salade de quinoa,"1 verre de quinoa 
1/2 concombre 
2 tomate 
20 feuille de menthe 
1 échalote 
Huile d'olive 
Jus de citron 
Sel ",www.marmiton.org
96, - ,2 tomate,tomate,Salade de quinoa,"1 verre de quinoa 
1/2 concombre 
2 tomate 
20 feuille de menthe 
1 échalote 
Huile d'olive 
Jus de citron 
Sel ",www.marmiton.org
97, - ,20 feuille de menthe,menthe,Salade de quinoa,"1 verre de quinoa 
1/2 concombre 
2 tomate 
20 feuille de menthe 
1 échalote 
Huile d'olive 
Jus de citron 
Sel ",www.marmiton.org
