brand,description,image_url,origin,price,price_per_unit,promo_price,shelter_child,shelter_parent,url
,Viande bovine Rumsteak***  Bio  A rôtir - 750g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727629&use=l&cat=p&typeid=i,France,15.95 €,21.27 € / kg,15.95 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16506-Viande-bovine-Rumsteak-Bio-.aspx
,Viande bovine : Rôti** Charolaise - 750g,https://fd4-photos.leclercdrive.fr/image.ashx?id=744670&use=l&cat=p&typeid=i,France,13.38 €,17.84 € / kg,13.38 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-38900-Viande-bovine-Roti.aspx
,Viande bovine 1x rôti ** 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727617&use=l&cat=p&typeid=i,France,10.11 €,16.85 € / kg,10.11 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7417-Viande-bovine-1x-roti-.aspx
,Viande bovine 2x bavette Aloyau *** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727577&use=l&cat=p&typeid=i,France,6.64 €,23.71 € / kg,6.64 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26250-Viande-bovine-2x-bavette.aspx
Charal,Bavette d'Aloyau *** Charal 2x130g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576869&use=l&cat=p&typeid=i,,6.90 €,26.54 € / kg,6.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41359-Bavette-dAloyau-Charal.aspx
Férial,Bavette Viande bovine Férial  Aloyau ***à griller x2 - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1413075&use=l&cat=p&typeid=i,,5.54 €,19.79 € / kg,5.54 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16824-Bavette-Viande-bovine-Ferial-.aspx
,Viande bovine Bio Entrecôte *** x2 - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1403433&use=l&cat=p&typeid=i,,10.56 €,31.06 € / kg,10.56 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-77956-Viande-bovine-Bio.aspx
,Viande bovine 2x entrecôte *** à griller - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727561&use=l&cat=p&typeid=i,France,7.96 €,23.41 € / kg,7.96 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27053-Viande-bovine-2x-entrecote-.aspx
,Viande bovine Charolaise 2x entrecôte *** à griller 360g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727613&use=l&cat=p&typeid=i,France,9.80 €,27.22 € / kg,9.80 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26246-Viande-bovine-Charolaise.aspx
,Viande bovine 1x entrecôte*** Epaisse à griller - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727593&use=l&cat=p&typeid=i,f'rance,6.99 €,23.30 € / kg,6.99 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26672-Viande-bovine-1x-entrecote.aspx
,Viande bovine 1x entrecôte *** à griller - 170g,https://fd4-photos.leclercdrive.fr/image.ashx?id=733337&use=l&cat=p&typeid=i,France,3.94 €,23.18 € / kg,3.94 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27052-Viande-bovine-1x-entrecote-.aspx
,Viande bovine 1x côte *** à griller - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727545&use=l&cat=p&typeid=i,France,13.19 €,21.98 € / kg,13.19 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27494-Viande-bovine-1x-cote-.aspx
,Viande bovine 2x pavé *** tournedos à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727625&use=l&cat=p&typeid=i,France,5.66 €,20.21 € / kg,5.66 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26671-Viande-bovine-2x-pave-.aspx
Charal,Viande Bovine Française Charal: Pavé aux 3 poivres x2 - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1577025&use=l&cat=p&typeid=i,,4.90 €,18.85 € / kg,4.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3917-Viande-Bovine-Francaise-Charal.aspx
Charal,Viande Bovine Française Charal: Pavé à l'échalote x2 - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1616895&use=l&cat=p&typeid=i,,4.90 €,18.85 € / kg,4.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3918-Viande-Bovine-Francaise-Charal.aspx
Charal,Tournedos *** Charal 2x140g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576830&use=l&cat=p&typeid=i,,11.50 €,41.07 € / kg,11.50 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41358-Tournedos-Charal.aspx
Férial,Viande bovine Férial tournedos *** à griller 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1403478&use=l&cat=p&typeid=i,,8.69 €,31.04 € / kg,8.69 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16839-Viande-bovine-Ferial.aspx
Bio Village,Viande bovine Fr Bio Village Faux filet - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167545&use=l&cat=p&typeid=i,,4.46 €,27.88 € / kg,4.46 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-53023-Viande-bovine-Fr-Bio-Village.aspx
,Viande bovine 1x faux filet *** à griller Bio - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010562&use=l&cat=p&typeid=i,,4.85 €,30.31 € / kg,4.85 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-54134-Viande-bovine-1x-faux-filet-.aspx
Charal,Faux filet *** Charal  x1 - 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1597256&use=l&cat=p&typeid=i,,4.78 €,23.90 € / kg,4.78 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-48504-Faux-filet-Charal.aspx
Férial,Viande bovine  Férial 1x  faux filet *** à griller - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167518&use=l&cat=p&typeid=i,,3.35 €,20.94 € / kg,3.35 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16934-Viande-bovine-Ferial-1x-.aspx
,Faux filet viande Limousine 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1597826&use=l&cat=p&typeid=i,,5.54 €,27.70 € / kg,5.54 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-85455-Faux-filet-viande-Limousine.aspx
,Faux Filet à la mexicaine  8x50g - 400g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1425659&use=l&cat=p&typeid=i,,6.99 €,17.48 € / kg,6.99 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-84360-Faux-Filet-a-la-mexicaine-.aspx
,Viande bovine 2x faux filet *** à griller - 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727581&use=l&cat=p&typeid=i,France,6.34 €,19.81 € / kg,6.34 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7304-Viande-bovine-2x-faux-filet-.aspx
,Viande bovine 1x faux filet *** à griller - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727585&use=l&cat=p&typeid=i,France,3.49 €,21.81 € / kg,3.49 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7303-Viande-bovine-1x-faux-filet-.aspx
,Viande bovine Bio vilage Vbf - steak*** - 2x120g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167548&use=l&cat=p&typeid=i,,4.99 €,20.79 € / kg,4.99 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-53022-Viande-bovine-Bio-vilage.aspx
Charal,Steak *** Charal 130g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1578243&use=l&cat=p&typeid=i,,2.90 €,22.31 € / kg,2.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41357-Steak-Charal.aspx
Charal,Viande Bovine Française Charal: Mini Bifteck x2 - 160g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1578669&use=l&cat=p&typeid=i,,3.75 €,23.44 € / kg,3.75 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-2912-Viande-Bovine-Francaise-Charal.aspx
Férial,Viande bovine Férial steak ** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167524&use=l&cat=p&typeid=i,,3.99 €,14.25 € / kg,3.99 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16805-Viande-bovine-Ferial.aspx
Charal,Viande bovine Charal3x steak*** à griller - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1600287&use=l&cat=p&typeid=i,,5.89 €,19.63 € / kg,5.89 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3904-Viande-bovine-Charal3x-steak.aspx
,Seak viande limousine  2x140 g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1594913&use=l&cat=p&typeid=i,,5.17 €,18.46 € / kg,5.17 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-85492-Seak-viande-limousine-.aspx
,Pavé de Rumsteak x2 Viande limousine - 140g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1583408&use=l&cat=p&typeid=i,,8.08 €,28.86 € / kg,8.08 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-85456-Pave-de-Rumsteak-x2.aspx
,Viande bovine Bio 2x steak** A griller - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727633&use=l&cat=p&typeid=i,France,5.40 €,20.77 € / kg,5.40 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16504-Viande-bovine-Bio-2x-steak.aspx
,Viande bovine 4x steak ** à griller - 520g,https://fd4-photos.leclercdrive.fr/image.ashx?id=737648&use=l&cat=p&typeid=i,France,9.00 €,17.31 € / kg,9.00 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27051-Viande-bovine-4x-steak-.aspx
,Viande bovine 2x steak ** à griller - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=733341&use=l&cat=p&typeid=i,France,4.68 €,18.00 € / kg,4.68 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7415-Viande-bovine-2x-steak-.aspx
,Viande Bovine 4x steak* à griller - 520g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727549&use=l&cat=p&typeid=i,France,8.00 €,15.38 € / kg,8.00 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27493-Viande-Bovine-4x-steak.aspx
,Viande bovine 2x steak * à griller - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727601&use=l&cat=p&typeid=i,France,4.00 €,15.38 € / kg,4.00 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7416-Viande-bovine-2x-steak-.aspx
,Viande bovine Charolaise 2x steak  *** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727605&use=l&cat=p&typeid=i,France,5.28 €,18.86 € / kg,5.28 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26248-Viande-bovine-Charolaise.aspx
,Viande bovine 2x pavé *** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727569&use=l&cat=p&typeid=i,France,5.49 €,19.61 € / kg,5.49 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26251-Viande-bovine-2x-pave-.aspx
,Viande bovine Bio  bourguignon*** à mijoter - 400g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734691&use=l&cat=p&typeid=i,France,6.07 €,15.18 € / kg,6.07 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16507-Viande-bovine-Bio-.aspx
,Viande bovine bourguignon *** à mijoter - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727621&use=l&cat=p&typeid=i,France,5.95 €,9.92 € / kg,5.95 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7178-Viande-bovine-bourguignon-.aspx
,Viande bovine pièce fondue pour 4 personnes - 500g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727553&use=l&cat=p&typeid=i,France,8.42 €,16.84 € / kg,8.42 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27492-Viande-bovine-piece-fondue.aspx
Charal,Tendre de boeuf Charal  2x120g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1597310&use=l&cat=p&typeid=i,,5.43 €,22.63 € / kg,5.43 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-48179-Tendre-de-boeuf-Charal-.aspx
,Viande bovine 2x pavé *** à griller Bio - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010652&use=l&cat=p&typeid=i,,6.20 €,22.14 € / kg,6.20 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-54136-Viande-bovine-2x-pave-.aspx
Charal,Viande bovine Charal 2xpavé ***  à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1616889&use=l&cat=p&typeid=i,,5.10 €,18.21 € / kg,5.10 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3912-Viande-bovine-Charal-2xpave-.aspx
Férial,Viande bovine Férial 2x pavé*** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167527&use=l&cat=p&typeid=i,,5.44 €,19.43 € / kg,5.44 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16846-Viande-bovine-Ferial-2x-pave.aspx
Férial,Viande Bovine Française Férial Pavé à l'échalote x2 - 240g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167539&use=l&cat=p&typeid=i,,3.92 €,16.33 € / kg,3.92 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18746-Viande-Bovine-Francaise-Ferial.aspx
Férial,Viande Bovine Française Férial: Pavé mariné nature x2 - 240g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167536&use=l&cat=p&typeid=i,,3.38 €,14.08 € / kg,3.38 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18748-Viande-Bovine-Francaise-Ferial.aspx
Férial,Viande Bovine Française Férial: Pavé marinés 3 poivres x2 -240g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1167542&use=l&cat=p&typeid=i,,4.06 €,16.92 € / kg,4.06 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18747-Viande-Bovine-Francaise-Ferial.aspx
Tendre & Plus,Pavé de boeuf Tendre & Plus natur,https://fd4-photos.leclercdrive.fr/image.ashx?id=1231898&use=l&cat=p&typeid=i,,4.34 €,16.69 € / kg,4.34 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-69828-Pave-de-boeuf-Tendre-Plus.aspx
Férial,Viande Bovine Férial : Carpaccio basilic - 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010892&use=l&cat=p&typeid=i,,3.57 €,17.85 € / kg,3.57 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18749-Viande-Bovine-Ferial-.aspx
Férial,Viande Bovine Férial Carpaccio parmesan 18 tr - 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1010872&use=l&cat=p&typeid=i,,3.62 €,18.10 € / kg,3.62 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-23510-Viande-Bovine-Ferial.aspx
Férial,Viande Bovine Férial :  Carpaccio noisette 18 tr - 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1467465&use=l&cat=p&typeid=i,,3.29 €,16.45 € / kg,3.29 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-23508-Viande-Bovine-Ferial-.aspx
Bigard,Viande Bovine Bigard Carpaccio au parmesan - 190g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1570141&use=l&cat=p&typeid=i,,3.95 €,20.79 € / kg,3.95 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-25312-Viande-Bovine-Bigard.aspx
Charal,Carpaccio Charal olives Viande bovine française-  230g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1598261&use=l&cat=p&typeid=i,,4.95 €,21.52 € / kg,4.95 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3920-Carpaccio-Charal-olives.aspx
,Carpaccio au basilic Viande bovine - 230g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576923&use=l&cat=p&typeid=i,,4.90 €,21.30 € / kg,4.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3922-Carpaccio-au-basilic.aspx
Férial,Veau : Paupiette Férial x6 780g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1103097&use=l&cat=p&typeid=i,,10.49 €,13.45 € / kg,10.49 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-18072-Veau-Paupiette-Ferial-x6.aspx
,Paupiettes de veau Ferial x3 - 390g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1103112&use=l&cat=p&typeid=i,,5.35 €,13.72 € / kg,5.35 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-53652-Paupiettes-de-veau-Ferial.aspx
,Veau : Rôti *** 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734687&use=l&cat=p&typeid=i,,11.35 €,18.92 € / kg,11.35 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-24466-Veau-Roti-.aspx
,Veau2x côte sans os *** à griller - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734683&use=l&cat=p&typeid=i,,6.03 €,23.19 € / kg,6.03 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26254-Veau2x-cote-sans-os-.aspx
,Veau 2x escalope ***  à griller - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734671&use=l&cat=p&typeid=i,,6.49 €,24.96 € / kg,6.49 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27495-Veau-2x-escalope-.aspx
,Veau 1x escalope *** à griller - 130g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734679&use=l&cat=p&typeid=i,,3.24 €,24.92 € / kg,3.24 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7306-Veau-1x-escalope-.aspx
,Veau sauté *** à mijoter - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734695&use=l&cat=p&typeid=i,,9.95 €,16.58 € / kg,9.95 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7177-Veau-saute-.aspx
,Veau osso bucco à mijoter - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=805092&use=l&cat=p&typeid=i,,9.10 €,15.17 € / kg,9.10 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-44187-Veau-osso-bucco.aspx
Férial,Haché de veau Férial Façon bouchère VVF 200g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1297759&use=l&cat=p&typeid=i,,2.85 €,14.25 € / kg,2.85 €,Veau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-42111-Hache-de-veau-Ferial.aspx
,Agneau : Côte ***  A griller x3 - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=608420&use=l&cat=p&typeid=i,France,6.34 €,22.64 € / kg,6.34 €,Agneau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-24467-Agneau-Cote-.aspx
,Agneau 2x gigot *** Tranché à griller - 320g,https://fd4-photos.leclercdrive.fr/image.ashx?id=743115&use=l&cat=p&typeid=i,UE,7.17 €,22.41 € / kg,7.17 €,Agneau,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-24468-Agneau-2x-gigot-.aspx
,Côte première Label Rouge Sans os - 170g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1580574&use=l&cat=p&typeid=i,,3.21 €,18.88 € / kg,3.21 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-85463-Cote-premiere-Label-Rouge.aspx
,Côte Échine Porc Label Rouge Sans os - 170g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1594946&use=l&cat=p&typeid=i,,3.21 €,18.88 € / kg,3.21 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-85464-Cote-Echine-Porc-Label-Rouge.aspx
,Porc : Côte première x6 Origine France - 900g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727837&use=l&cat=p&typeid=i,,7.34 €,8.16 € / kg,7.34 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27498-Porc-Cote-premiere-x6.aspx
,Porc : Côte première x4 Origine France - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727893&use=l&cat=p&typeid=i,,5.58 €,9.30 € / kg,5.58 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26237-Porc-Cote-premiere-x4.aspx
,Porc : Côte première x2 Origine France - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727889&use=l&cat=p&typeid=i,,2.86 €,9.53 € / kg,2.86 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-17635-Porc-Cote-premiere-x2.aspx
,Porc : Côte sans os x2 220g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727853&use=l&cat=p&typeid=i,France,2.86 €,13.00 € / kg,2.86 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27055-Porc-Cote-sans-os-x2.aspx
,Porc : Côte sans os x4 Origine France - 440g,https://fd4-photos.leclercdrive.fr/image.ashx?id=734675&use=l&cat=p&typeid=i,,4.16 €,9.45 € / kg,4.16 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27057-Porc-Cote-sans-os-x4.aspx
,Porc : Côte échine x6 Origine France - ,https://fd4-photos.leclercdrive.fr/image.ashx?id=727841&use=l&cat=p&typeid=i,,6.76 €,6.63 € / kg,6.76 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27497-Porc-Cote-echine-x6.aspx
,Porc : Côte échine x2 Origine France - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727861&use=l&cat=p&typeid=i,,2.50 €,7.35 € / kg,2.50 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27060-Porc-Cote-echine-x2.aspx
,Araignée de porc  Basquaise - 450g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1426342&use=l&cat=p&typeid=i,,4.99 €,11.09 € / kg,4.99 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-84364-Araignee-de-porc-.aspx
,Porc : Côte échine x4 Origine France - 680g,https://fd4-photos.leclercdrive.fr/image.ashx?id=791940&use=l&cat=p&typeid=i,,4.82 €,7.09 € / kg,4.82 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27061-Porc-Cote-echine-x4.aspx
,Porc : Rôti carré sans os Barde Origine France - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727881&use=l&cat=p&typeid=i,,7.17 €,11.95 € / kg,7.17 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7418-Porc-Roti-carre-sans-os-Barde.aspx
,Porc : Rôti label rouge Origine France - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=666304&use=l&cat=p&typeid=i,,7.10 €,11.83 € / kg,7.10 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-33731-Porc-Roti-label-rouge.aspx
,Porc : Rôti fumé Origine France - 850g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727897&use=l&cat=p&typeid=i,,9.00 €,10.59 € / kg,9.00 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-34169-Porc-Roti-fume.aspx
,Porc : Filet mignon x2 Origine France - 950g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727885&use=l&cat=p&typeid=i,,15.95 €,16.79 € / kg,15.95 €,Porc,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-17636-Porc-Filet-mignon-x2.aspx
